"Design properties of HEA profiles for S235 steel class (γM0 = 1.00, units = mm)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Profile dimensions,,,,,Area properties,,,,,Inertia properties about major axis y-y,,,,Inertia properties about minor axis z-z,,,,Torsional & warping properties,,,,Axial force & shear resistance,,,Bending major axis y-y,,Bending minor axis z-z,,Buckling curve,,Section classification,,
Profile,Depth,Width,Web thickness,Flange thickness,Root radius,Weight,Perimeter,Area,Shear area z-z,Shear area y-y,Second moment of area,Radius of gyration,Elastic section modulus,Plastic section modulus,Second moment of area,Radius of gyration,Elastic section modulus,Plastic section modulus,Torsion constant,Torsion modulus,Warping constant,Warping modulus,Design plastic axial force resistance,Design plastic shear force resistance z-z,Design plastic shear force resistance y-y,Design elastic bending moment resistance,Design plastic bending moment resistance,Design elastic bending moment resistance,Design plastic bending moment resistance,Buckling about major axis y-y,Buckling about minor axis z-z,Web in pure bending about major axis y-y,Web in pure uniform compression,Flanges in uniform compression due to axial force or bending moment
,h,b,tw,tf,r,m,P,A,"Av,z","Av,y",Iy,iy,"Wel,y","Wpl,y",Iz,iz,"Wel,z","Wpl,z",IT,WT,Iw,Ww,"Npl,Rd","Vpl,Rd,z","Vpl,Rd,y","Mel,Rd,y","Mpl,Rd,y","Mel,Rd,z","Mpl,Rd,z",,,,,
,[mm],[mm],[mm],[mm],[mm],[kg/m],[m],[mm2],[mm2],[mm2],[×106 mm4],[mm],[×103 mm3],[×103 mm3],[×106 mm4],[mm],[×103 mm3],[×103 mm3],[×103 mm4],[×103 mm3],[×106 mm6],[×103 mm4],[kN],[kN],[kN],[kNm],[kNm],[kNm],[kNm],,,,,
,,,,,,,,,(for η=1.2),,,,,,,,,,,,,,,,,,,,,,,,,
HEA100,96,100,5,8,12,16.7,0.561,2124,756,1600,3.492,40.6,72.76,83.01,1.338,25.1,26.76,41.14,51.99,10.4,2475,1143,499.05,102.52,217.08,17.1,19.51,6.29,9.67,b,c,1,1,1
HEA120,114,120,5,8,12,19.9,0.677,2534,846,1920,6.062,48.9,106.3,119.5,2.309,30.2,38.48,58.85,59.57,11.91,6285,1998,595.4,114.73,260.5,24.99,28.08,9.04,13.83,b,c,1,1,1
HEA140,133,140,5.5,8.5,12,24.7,0.794,3142,1012,2380,10.33,57.3,155.4,173.5,3.893,35.2,55.62,84.85,80.32,14.6,14729,3409,738.28,137.35,322.91,36.51,40.77,13.07,19.94,b,c,1,1,1
HEA160,152,160,6,9,15,30.4,0.906,3877,1321,2880,16.73,65.7,220.1,245.1,6.156,39.8,76.95,117.6,118.4,19.73,30615,5404,911.13,179.25,390.75,51.73,57.61,18.08,27.64,b,c,1,1,1
HEA180,171,180,6,9.5,15,35.5,1.024,4525,1447,3420,25.1,74.5,293.6,324.9,9.246,45.2,102.7,156.5,146.6,24.43,59014,8182,1063.41,196.34,464.02,69,76.34,24.14,36.78,b,c,1,1,1
HEA200,190,200,6.5,10,18,42.3,1.136,5383,1808,4000,36.92,82.8,388.6,429.5,13.36,49.8,133.6,203.8,204.3,31.43,105580,11830,1265.03,245.32,542.71,91.33,100.93,31.38,47.9,b,c,1,1,1
HEA220,210,220,7,11,18,50.5,1.255,6434,2067,4840,54.1,91.7,515.2,568.5,19.55,55.1,177.7,270.6,280.9,40.13,189610,17440,1512.02,280.46,656.68,121.07,133.59,41.76,63.59,b,c,1,1,1
HEA240,230,240,7.5,12,21,60.3,1.369,7684,2518,5760,77.63,100.5,675.1,744.6,27.69,60,230.7,351.7,410.3,54.71,321640,24780,1805.64,341.58,781.5,158.64,174.99,54.22,82.65,b,c,1,1,1
HEA260,250,260,7.5,12.5,24,68.2,1.484,8682,2876,6500,104.5,109.7,836.4,919.8,36.68,65,282.1,430.2,520,69.33,504990,32980,2040.26,390.17,881.9,196.55,216.15,66.3,101.09,b,c,1,1,1
HEA280,270,280,8,13,24,76.4,1.603,9726,3174,7280,136.7,118.6,1013,1112,47.63,70,340.2,518.1,613.9,76.74,770140,43120,2285.71,430.7,987.73,238.02,261.37,79.94,121.76,b,c,1,1,1
HEA300,290,300,8.5,14,27,88.3,1.717,11253,3728,8400,182.6,127.4,1260,1383,63.1,74.9,420.6,641.2,842.4,99.11,1174700,57190,2644.4,505.78,1139.69,295.99,325.07,98.85,150.67,b,c,1,1,1
HEA320,310,300,9,15.5,27,97.6,1.756,12437,4113,9300,229.3,135.8,1479,1628,69.85,74.9,465.7,709.7,1088,120.9,1482600,67640,2922.64,558.08,1261.8,347.63,382.6,109.44,166.79,b,c,1,1,1
HEA340,330,300,9.5,16.5,27,104.8,1.795,13347,4495,9900,276.9,144,1678,1850,74.36,74.6,495.7,755.9,1287,135.5,1790200,76670,3136.61,609.87,1343.21,394.42,434.86,116.5,177.65,b,c,1,1,1
HEA360,350,300,10,17.5,27,112.1,1.834,14276,4896,10500,330.9,152.2,1891,2088,78.87,74.3,525.8,802.3,1510,151,2137700,86300,3354.81,664.25,1424.61,444.35,490.79,123.56,188.54,b,c,1,1,1
HEA400,390,300,11,19,27,124.8,1.912,15898,5733,11400,450.7,168.4,2311,2562,85.64,73.4,570.9,872.9,1914,174,2893600,104700,3735.98,777.81,1546.72,543.14,602.02,134.17,205.12,a,b,1,1,1
HEA450,440,300,11.5,21,27,139.8,2.011,17803,6578,12600,637.2,189.2,2896,3216,94.65,72.9,631,965.5,2491,216.6,4087200,130800,4183.65,892.52,1709.53,680.66,755.73,148.29,226.9,a,b,1,1,1
HEA500,490,300,12,23,27,155.1,2.11,19754,7472,13800,869.7,209.8,3550,3949,103.7,72.4,691.1,1059,3177,264.8,5569200,159800,4642.14,1013.75,1872.35,834.25,927.98,162.42,248.75,a,b,1,1,1
HEA550,540,300,12.5,24,27,166.2,2.209,21176,8372,14400,1119,229.9,4146,4622,108.2,71.5,721.3,1107,3606,288.5,7103100,184400,4976.31,1135.86,1953.75,974.22,1086.13,169.5,260.12,a,b,1,2,1
HEA600,590,300,13,25,27,177.8,2.308,22646,9321,15000,1412,249.7,4787,5350,112.7,70.5,751.4,1156,4075,313.5,8879600,210500,5321.76,1264.62,2035.16,1124.88,1257.34,176.58,271.58,a,b,1,2,1
HEA650,640,300,13.5,26,27,189.7,2.407,24164,10319,15600,1752,269.3,5474,6136,117.2,69.7,781.6,1205,4586,339.7,10915000,238000,5678.49,1400.02,2116.57,1286.47,1442.03,183.67,283.13,a,b,1,3,1
HEA700,690,300,14.5,27,27,204.5,2.505,26048,11697,16200,2153,287.5,6241,7032,121.8,68.4,811.9,1257,5228,360.6,13223000,267000,6121.23,1587.06,2197.97,1466.55,1652.48,190.8,295.33,a,b,1,3,1
HEA800,790,300,15,28,30,224.4,2.698,28583,13883,16800,3034,325.8,7682,8699,126.4,66.5,842.6,1312,6096,406.4,18113000,318200,6716.9,1883.55,2279.38,1805.29,2044.38,198.01,308.38,a,b,1,4,1
HEA900,890,300,16,30,30,251.6,2.896,32053,16333,18000,4221,362.9,9485,10810,135.5,65,903.2,1414,7510,469.4,24748000,385100,7532.35,2215.96,2442.19,2228.94,2540.59,212.24,332.4,a,b,1,4,1
HEA1000,990,300,16.5,31,30,272.3,3.095,34685,18456,18600,5538,399.6,11190,12820,140,63.5,933.6,1470,8373,507.5,31834000,444100,8150.87,2504.07,2523.6,2629.37,3013.73,219.4,345.38,a,b,1,4,1
