"Design properties of HEB profiles for S235 steel class (γM0 = 1.00, units = mm)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Profile dimensions,,,,,Area properties,,,,,Inertia properties about major axis y-y,,,,Inertia properties about minor axis z-z,,,,Torsional & warping properties,,,,Axial force & shear resistance,,,Bending major axis y-y,,Bending minor axis z-z,,Buckling curve,,Section classification,,
Profile,Depth,Width,Web thickness,Flange thickness,Root radius,Weight,Perimeter,Area,Shear area z-z,Shear area y-y,Second moment of area,Radius of gyration,Elastic section modulus,Plastic section modulus,Second moment of area,Radius of gyration,Elastic section modulus,Plastic section modulus,Torsion constant,Torsion modulus,Warping constant,Warping modulus,Design plastic axial force resistance,Design plastic shear force resistance z-z,Design plastic shear force resistance y-y,Design elastic bending moment resistance,Design plastic bending moment resistance,Design elastic bending moment resistance,Design plastic bending moment resistance,Buckling about major axis y-y,Buckling about minor axis z-z,Web in pure bending about major axis y-y,Web in pure uniform compression,Flanges in uniform compression due to axial force or bending moment
,h,b,tw,tf,r,m,P,A,"Av,z","Av,y",Iy,iy,"Wel,y","Wpl,y",Iz,iz,"Wel,z","Wpl,z",IT,WT,Iw,Ww,"Npl,Rd","Vpl,Rd,z","Vpl,Rd,y","Mel,Rd,y","Mpl,Rd,y","Mel,Rd,z","Mpl,Rd,z",,,,,
,[mm],[mm],[mm],[mm],[mm],[kg/m],[m],[mm2],[mm2],[mm2],[×106 mm4],[mm],[×103 mm3],[×103 mm3],[×106 mm4],[mm],[×103 mm3],[×103 mm3],[×103 mm4],[×103 mm3],[×106 mm6],[×103 mm4],[kN],[kN],[kN],[kNm],[kNm],[kNm],[kNm],,,,,
,,,,,,,,,(for η=1.2),,,,,,,,,,,,,,,,,,,,,,,,,
HEB100,100,100,6,10,12,20.4,0.567,2604,904,2000,4.495,41.6,89.91,104.2,1.673,25.3,33.45,51.42,93.09,15.52,3233,1462,611.85,122.6,271.35,21.13,24.49,7.86,12.08,b,c,1,1,1
HEB120,120,120,6.5,11,12,26.7,0.686,3401,1096,2640,8.644,50.4,144.1,165.2,3.175,30.6,52.92,80.97,139.4,21.45,9125,2824,799.14,148.72,358.19,33.85,38.82,12.44,19.03,b,c,1,1,1
HEB140,140,140,7,12,12,33.7,0.805,4296,1308,3360,15.09,59.3,215.6,245.4,5.497,35.8,78.52,119.8,202,28.86,21965,4948,1009.47,177.41,455.88,50.67,57.68,18.45,28.15,b,c,1,1,1
HEB160,160,160,8,13,15,42.6,0.918,5425,1759,4160,24.92,67.8,311.5,354,8.892,40.5,111.2,170,312.4,39.05,46667,8020,1274.91,238.68,564.42,73.2,83.18,26.12,39.94,b,c,1,1,1
HEB180,180,180,8.5,14,15,51.2,1.037,6525,2024,5040,38.31,76.6,425.7,481.4,13.63,45.7,151.4,231,422.4,49.69,91728,12380,1533.41,274.63,683.81,100.04,113.14,35.59,54.29,b,c,1,1,1
HEB200,200,200,9,15,18,61.3,1.151,7808,2483,6000,56.96,85.4,569.6,642.5,20.03,50.7,200.3,305.8,595.9,66.21,167060,18230,1834.91,336.9,814.06,133.86,151,47.08,71.87,b,c,1,1,1
HEB220,220,220,9.5,16,18,71.5,1.27,9104,2792,7040,80.91,94.3,735.5,827,28.43,55.9,258.5,393.9,770.2,81.07,289510,26010,2139.47,378.83,955.17,172.85,194.36,60.74,92.56,b,c,1,1,1
HEB240,240,240,10,17,21,83.2,1.384,10599,3323,8160,112.6,103.1,938.3,1053,39.23,60.8,326.9,498.4,1036,103.6,476280,35890,2490.66,450.8,1107.13,220.49,247.49,76.82,117.13,b,c,1,1,1
HEB260,260,260,10,17.5,24,93,1.499,11844,3759,9100,149.2,112.2,1148,1283,51.35,65.8,395,602.2,1257,125.7,736280,47140,2783.44,510.07,1234.66,269.7,301.48,92.82,141.53,b,c,1,1,1
HEB280,280,280,10.5,18,24,103.1,1.618,13136,4109,10080,192.7,121.1,1376,1534,65.95,70.9,471,717.6,1453,138.4,1107200,60840,3087.06,557.56,1367.63,323.47,360.59,110.69,168.63,b,c,1,1,1
HEB300,300,300,11,19,27,117,1.732,14908,4743,11400,251.7,129.9,1678,1869,85.63,75.8,570.9,870.1,1874,170.4,1651000,79000,3503.33,643.49,1546.72,394.26,439.14,134.15,204.48,b,c,1,1,1
HEB320,320,300,11.5,20.5,27,126.7,1.771,16134,5177,12300,308.2,138.2,1926,2149,92.39,75.7,615.9,939.1,2292,199.3,2026200,90900,3791.56,702.41,1668.83,452.72,505.07,144.74,220.69,b,c,1,1,1
HEB340,340,300,12,21.5,27,134.2,1.81,17090,5609,12900,366.6,146.5,2156,2408,96.9,75.3,646,985.7,2620,218.3,2405600,101500,4016.1,760.98,1750.24,506.72,565.9,151.81,231.64,b,c,1,1,1
HEB360,360,300,12.5,22.5,27,141.8,1.849,18063,6060,13500,431.9,154.6,2400,2683,101.4,74.9,676.1,1032,2979,238.3,2829300,112600,4244.87,822.14,1831.64,563.91,630.5,158.88,242.64,b,c,1,1,1
HEB400,400,300,13.5,24,27,155.3,1.927,19778,6998,14400,576.8,170.8,2884,3232,108.2,74,721.3,1104,3611,267.5,3751100,133900,4647.78,949.44,1953.75,677.75,759.46,169.5,259.45,a,b,1,1,1
HEB450,450,300,14,26,27,171.1,2.026,21798,7966,15600,798.9,191.4,3551,3982,117.2,73.3,781.4,1198,4489,320.6,5177700,163800,5122.48,1080.78,2116.57,834.38,935.86,183.63,281.45,a,b,1,1,1
HEB500,500,300,14.5,28,27,187.3,2.125,23864,8982,16800,1072,211.9,4287,4815,126.2,72.7,841.6,1292,5499,379.2,6920700,196600,5607.99,1218.62,2279.38,1007.45,1131.42,197.77,303.54,a,b,1,1,1
HEB550,550,300,15,29,27,199.4,2.224,25406,10007,17400,1367,232,4971,5591,130.8,71.7,871.8,1341,6123,408.2,8743900,224900,5970.36,1357.69,2360.79,1168.09,1313.79,204.87,315.17,a,b,1,1,1
HEB600,600,300,15.5,30,27,211.9,2.323,26996,11081,18000,1710,251.7,5701,6425,135.3,70.8,902,1391,6796,438.5,10838000,254700,6344.01,1503.41,2442.19,1339.82,1509.91,211.97,326.9,a,b,1,1,1
HEB650,650,300,16,31,27,224.8,2.422,28634,12204,18600,2106,271.2,6480,7320,139.8,69.9,932.3,1441,7520,470,13219000,286000,6728.94,1655.78,2523.6,1522.92,1720.17,219.08,338.73,a,b,1,2,1
HEB700,700,300,17,32,27,240.5,2.52,30638,13710,19200,2569,289.6,7340,8327,144.4,68.7,962.7,1495,8417,495.1,15900000,318700,7199.88,1860.11,2605,1724.82,1956.88,226.24,351.34,a,b,1,2,1
HEB800,800,300,17.5,33,30,262.3,2.713,33418,16175,19800,3591,327.8,8977,10230,149,66.8,993.6,1553,9621,549.8,21617000,377500,7853.13,2194.59,2686.41,2109.62,2403.75,233.49,364.99,a,b,1,3,1
HEB900,900,300,18.5,35,30,291.5,2.911,37128,18875,21000,4941,364.8,10980,12580,158.2,65.3,1054,1658,11540,623.8,29196000,451800,8724.98,2560.92,2849.22,2580.12,2957.26,247.78,389.71,a,b,1,3,1
HEB1000,1000,300,19,36,30,314,3.11,40005,21249,21600,6447,401.5,12890,14860,162.8,63.8,1085,1716,12720,669.5,37340000,518300,9401.07,2882.95,2930.63,3030.32,3490.95,254.99,403.32,a,b,1,4,1
